NAICS  Code,Adjustments,Kind of Business,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
"722513, 722514, 722515",Not Adjusted,Limited service eating places,22813.0,22355.0,25841.0,25164.0,26328.0,26184.0,26457.0,26444.0,25042.0,25607.0,24314.0,25812.0,302361.0
,Adjusted,ADJUSTED(2),,,,,,,,,,,,,
,Adjusted,"Retail and food services sales, total",473484.0,472995.0,471999.0,474363.0,472010.0,473768.0,473959.0,474703.0,484385.0,485059.0,490007.0,492401.0,
,Adjusted,Retail sales and food services excl motor vehicle and parts,374064.0,374178.0,375294.0,376910.0,374147.0,375072.0,375038.0,378044.0,383436.0,383559.0,389394.0,392021.0,
,Adjusted,Retail sales and food services excl gasoline stations,433613.0,432889.0,432220.0,434824.0,433953.0,436135.0,436414.0,435938.0,443565.0,444119.0,448002.0,449681.0,
,Adjusted,Retail sales and food services excl motor vehicle and parts and gasoline stations,334193.0,334072.0,335515.0,337371.0,336090.0,337439.0,337493.0,339279.0,342616.0,342619.0,347389.0,349301.0,
,Adjusted,"Retail sales, total",416081.0,415503.0,414620.0,416889.0,414540.0,416505.0,416744.0,417179.0,426501.0,426933.0,431158.0,433282.0,
,Adjusted,"Retail sales, total (excl. motor vehicle and parts dealers)",316661.0,316686.0,317915.0,319436.0,316677.0,317809.0,317823.0,320520.0,325552.0,325433.0,330545.0,332902.0,
,Adjusted,GAFO(1),106705.0,105280.0,105919.0,106260.0,104964.0,106239.0,105493.0,106019.0,106820.0,106824.0,107562.0,107690.0,
441,Adjusted,Motor vehicle and parts dealers,99420.0,98817.0,96705.0,97453.0,97863.0,98696.0,98921.0,96659.0,100949.0,101500.0,100613.0,100380.0,
"4411,4412",Adjusted,Automobile and other motor vehicle dealers,91642.0,91140.0,88940.0,89632.0,90104.0,90984.0,91131.0,88962.0,93074.0,93751.0,92726.0,92247.0,
4413,Adjusted,"Automotive parts, acc., and tire stores",7778.0,7677.0,7765.0,7821.0,7759.0,7712.0,7790.0,7697.0,7875.0,7749.0,7887.0,8133.0,
"442,443",Adjusted,"Furniture, home furn, electronics, and appliance stores",17195.0,17107.0,17400.0,17285.0,17251.0,17242.0,17108.0,17198.0,17158.0,17512.0,17775.0,17758.0,
442,Adjusted,Furniture and home furnishings stores,9499.0,9498.0,9576.0,9434.0,9507.0,9570.0,9529.0,9601.0,9496.0,9804.0,9937.0,9960.0,
443,Adjusted,Electronics and appliance stores,7696.0,7609.0,7824.0,7851.0,7744.0,7672.0,7579.0,7597.0,7662.0,7708.0,7838.0,7798.0,
444,Adjusted,Building mat. and garden equip. and supplies dealers,28685.0,28943.0,28755.0,29063.0,28764.0,28720.0,28838.0,28843.0,29763.0,29561.0,29948.0,30044.0,
4441,Adjusted,Building mat. and supplies dealers,25383.0,25398.0,25117.0,25279.0,25051.0,25056.0,25068.0,25145.0,26148.0,25965.0,26295.0,26306.0,
445,Adjusted,Food and beverage stores,59561.0,59832.0,60322.0,60461.0,60614.0,60413.0,60443.0,60762.0,61331.0,61563.0,61766.0,62282.0,
4451,Adjusted,Grocery stores,53298.0,53608.0,54096.0,54177.0,54297.0,54137.0,54184.0,54430.0,55022.0,55168.0,55332.0,55884.0,
4453,Adjusted,"Beer, wine and liquor stores",4332.0,4298.0,4316.0,4374.0,4386.0,4377.0,4371.0,4399.0,4408.0,4482.0,4477.0,4453.0,
446,Adjusted,Health and personal care stores,26160.0,26436.0,26569.0,26755.0,26761.0,26983.0,27020.0,27336.0,27372.0,27568.0,27763.0,27669.0,
44611,Adjusted,Pharmacies and drug stores,21658.0,21867.0,22066.0,22212.0,22337.0,22571.0,22417.0,22661.0,22858.0,22972.0,22998.0,22969.0,
447,Adjusted,Gasoline stations,39871.0,40106.0,39779.0,39539.0,38057.0,37633.0,37545.0,38765.0,40820.0,40940.0,42005.0,42720.0,
448,Adjusted,Clothing and clothing access. stores,22025.0,21654.0,21760.0,21777.0,21648.0,21791.0,21619.0,21779.0,21897.0,21796.0,22068.0,21760.0,
4481,Adjusted,Clothing stores,16167.0,15887.0,15940.0,15969.0,15871.0,15973.0,15771.0,15893.0,15912.0,15871.0,16062.0,15906.0,
44811,Adjusted,Men's clothing stores,801.0,784.0,828.0,770.0,799.0,799.0,776.0,762.0,778.0,752.0,739.0,745.0,
44812,Adjusted,Women's clothing stores,3328.0,3290.0,3263.0,3336.0,3250.0,3326.0,3304.0,3238.0,3209.0,3218.0,3260.0,3257.0,
4482,Adjusted,Shoe stores,3088.0,3015.0,3076.0,3073.0,2993.0,3022.0,2976.0,3040.0,3046.0,2986.0,3030.0,3005.0,
44831,Adjusted,Jewelry stores,2558.0,2515.0,2516.0,2508.0,2531.0,2554.0,2611.0,2589.0,2682.0,2675.0,2702.0,2597.0,
451,Adjusted,"Sporting goods, hobby, musical instrument, and book stores",7227.0,7051.0,6964.0,7028.0,6948.0,6945.0,6841.0,6913.0,7002.0,7031.0,7144.0,7059.0,
452,Adjusted,General merchandise stores,57695.0,56965.0,57274.0,57655.0,56600.0,57767.0,57438.0,57654.0,58294.0,57996.0,58065.0,58591.0,
4521,Adjusted,Department stores,12565.0,12394.0,12390.0,12403.0,12309.0,12341.0,12170.0,12158.0,12196.0,12072.0,12057.0,11963.0,
4529,Adjusted,Other general merchandise stores,45130.0,44571.0,44884.0,45252.0,44291.0,45426.0,45268.0,45496.0,46098.0,45924.0,46008.0,46628.0,
45291,Adjusted,Warehouse clubs and superstores,38966.0,38479.0,38682.0,38980.0,38127.0,39173.0,38973.0,39227.0,39747.0,39643.0,39715.0,40231.0,
45299,Adjusted,All other gen. merchandise stores,6164.0,6092.0,6202.0,6272.0,6164.0,6253.0,6295.0,6269.0,6351.0,6281.0,6293.0,6397.0,
453,Adjusted,Miscellaneous stores retailers,10110.0,10280.0,10189.0,10249.0,10043.0,10048.0,10258.0,10235.0,10354.0,10392.0,10590.0,10656.0,
454,Adjusted,Nonstore retailers,48132.0,48312.0,48903.0,49624.0,49991.0,50267.0,50713.0,51035.0,51561.0,51074.0,53421.0,54363.0,
4541,Adjusted,Electronic shopping and mail order houses,41456.0,41662.0,42157.0,42922.0,43098.0,43438.0,43918.0,44008.0,44424.0,44077.0,46017.0,46733.0,
45431,Adjusted,Fuel dealers,2425.0,2414.0,2516.0,2523.0,2615.0,2530.0,2486.0,2579.0,2645.0,2559.0,2896.0,3123.0,
722,Adjusted,Food services and drinking places,57403.0,57492.0,57379.0,57474.0,57470.0,57263.0,57215.0,57524.0,57884.0,58126.0,58849.0,59119.0,
